Date,Time,Temp (°C) c:1,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
10/6/22,13:30:00,32.253,Logged,,,,
10/6/22,13:40:00,31.561,,,,,
10/6/22,13:50:00,31.306,,,,,
10/6/22,14:00:00,31.128,,,,,
10/6/22,14:10:00,30.824,,,,,
10/6/22,14:20:00,31.459,,,,,
10/6/22,14:30:00,32.536,,,,,
10/6/22,14:40:00,33.966,,,,,
10/6/22,14:50:00,33.287,,,,,
10/6/22,15:00:00,32.458,,,,,
10/6/22,15:10:00,32.073,,,,,
10/6/22,15:20:00,32.82,,,,,
10/6/22,15:30:00,34.545,,,,,
10/6/22,15:40:00,36.633,,,,,
10/6/22,15:50:00,30.52,,,,,
10/6/22,16:00:00,29.615,,,,,
10/6/22,16:10:00,29.54,,,,,
10/6/22,16:20:00,29.414,,,,,
10/6/22,16:30:00,29.414,,,,,
10/6/22,16:40:00,29.29,,,,,
10/6/22,16:50:00,29.19,,,,,
10/6/22,17:00:00,29.115,,,,,
10/6/22,17:10:00,29.04,,,,,
10/6/22,17:20:00,28.941,,,,,
10/6/22,17:30:00,28.841,,,,,
10/6/22,17:40:00,28.717,,,,,
10/6/22,17:50:00,28.593,,,,,
10/6/22,18:00:00,28.493,,,,,
10/6/22,18:10:00,28.394,,,,,
10/6/22,18:20:00,28.27,,,,,
10/6/22,18:30:00,28.171,,,,,
10/6/22,18:40:00,28.048,,,,,
10/6/22,18:50:00,27.924,,,,,
10/6/22,19:00:00,27.801,,,,,
10/6/22,19:10:00,27.702,,,,,
10/6/22,19:20:00,27.554,,,,,
10/6/22,19:30:00,27.431,,,,,
10/6/22,19:40:00,27.308,,,,,
10/6/22,19:50:00,27.21,,,,,
10/6/22,20:00:00,27.136,,,,,
10/6/22,20:10:00,27.063,,,,,
10/6/22,20:20:00,26.965,,,,,
10/6/22,20:30:00,26.891,,,,,
10/6/22,20:40:00,26.793,,,,,
10/6/22,20:50:00,26.744,,,,,
10/6/22,21:00:00,26.72,,,,,
10/6/22,21:10:00,26.671,,,,,
10/6/22,21:20:00,26.622,,,,,
10/6/22,21:30:00,26.549,,,,,
10/6/22,21:40:00,26.5,,,,,
10/6/22,21:50:00,26.426,,,,,
10/6/22,22:00:00,26.353,,,,,
10/6/22,22:10:00,26.28,,,,,
10/6/22,22:20:00,26.28,,,,,
10/6/22,22:30:00,26.256,,,,,
10/6/22,22:40:00,26.231,,,,,
10/6/22,22:50:00,26.256,,,,,
10/6/22,23:00:00,26.207,,,,,
10/6/22,23:10:00,26.158,,,,,
10/6/22,23:20:00,26.109,,,,,
10/6/22,23:30:00,26.061,,,,,
10/6/22,23:40:00,26.036,,,,,
10/6/22,23:50:00,26.012,,,,,
11/6/22,0:00:00,25.963,,,,,
11/6/22,0:10:00,25.914,,,,,
11/6/22,0:20:00,25.914,,,,,
11/6/22,0:30:00,25.866,,,,,
11/6/22,0:40:00,25.841,,,,,
11/6/22,0:50:00,25.793,,,,,
11/6/22,1:00:00,25.768,,,,,
11/6/22,1:10:00,25.744,,,,,
11/6/22,1:20:00,25.695,,,,,
11/6/22,1:30:00,25.671,,,,,
11/6/22,1:40:00,25.647,,,,,
11/6/22,1:50:00,25.623,,,,,
11/6/22,2:00:00,25.574,,,,,
11/6/22,2:10:00,25.525,,,,,
11/6/22,2:20:00,25.501,,,,,
11/6/22,2:30:00,25.477,,,,,
11/6/22,2:40:00,25.453,,,,,
11/6/22,2:50:00,25.428,,,,,
11/6/22,3:00:00,25.404,,,,,
11/6/22,3:10:00,25.38,,,,,
11/6/22,3:20:00,25.355,,,,,
11/6/22,3:30:00,25.331,,,,,
11/6/22,3:40:00,25.283,,,,,
11/6/22,3:50:00,25.21,,,,,
11/6/22,4:00:00,25.186,,,,,
11/6/22,4:10:00,25.186,,,,,
11/6/22,4:20:00,25.113,,,,,
11/6/22,4:30:00,25.137,,,,,
11/6/22,4:40:00,25.113,,,,,
11/6/22,4:50:00,25.089,,,,,
11/6/22,5:00:00,25.065,,,,,
11/6/22,5:10:00,25.04,,,,,
11/6/22,5:20:00,24.992,,,,,
11/6/22,5:30:00,24.968,,,,,
11/6/22,5:40:00,24.944,,,,,
11/6/22,5:50:00,24.919,,,,,
11/6/22,6:00:00,24.919,,,,,
11/6/22,6:10:00,24.895,,,,,
11/6/22,6:20:00,24.871,,,,,
11/6/22,6:30:00,24.847,,,,,
11/6/22,6:40:00,24.823,,,,,
11/6/22,6:50:00,24.823,,,,,
11/6/22,7:00:00,24.823,,,,,
11/6/22,7:10:00,24.823,,,,,
11/6/22,7:20:00,24.823,,,,,
11/6/22,7:30:00,24.823,,,,,
11/6/22,7:40:00,24.823,,,,,
11/6/22,7:50:00,24.823,,,,,
11/6/22,8:00:00,24.823,,,,,
11/6/22,8:10:00,24.798,,,,,
11/6/22,8:20:00,24.798,,,,,
11/6/22,8:30:00,24.774,,,,,
